"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Disentri Basiler (Shigelosis)","pmb","Seorang anak usia 13 tahun dibawa ibunya ke dokter karena diare 3 hari dengan frekuensi 6-10 kali/hari. Diare berlendir dan berdarah. Keluhan juga disertai demam. Keadaan umum tampak cembung. Pada pemeriksaan penunjang feses lengkap didapatkan eritrosit +++, leukosit +++. Terapi yang tepat diberikan adalah?","","Amoxycillin","Ciprofloxacin","Tetrasiklin","Metronidazol","Cotrimoxazole","E"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Disentri Amoeba (Amoebiasis)","pmb","Anak perempuan usia 7 tahun datang ke RS bersama ibunya karena mengeluh diare berlendir darah. Keluhan dialami sejak 5 hari ini. Keluhan disertai mual dan nyeri perut. Riwayat pasien suka makan lalapan. Pemeriksaan fisik nadi 90x/m, RR 26x/m, suhu 37.4C, tidak didapatkan tanda dehidrasi. Hasil pemeriksaan makroskopis feses didapatkan eritrosit (+), leukosit (+), mikroorganisme bulat-bulat kecil berisi eritrosit, Kristal Charchot-Leyden (+). Apakah diagnosis pasien?","","Disentri amoeba oleh Escherichia Coli","Disentri basiliform oleh Shigella disentriae","Diare disentriform oleh collitis ulcerativa","Disentri amoeba oleh Entamoeba histolytica","Diare basiliform oleh Salmonella typhi","D"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Escherichia coli","pmb","Anak berusia 2 tahun dibawa ibunya ke RS IGD karena diare sejak 3 hari sekitar > 5kali/hari. Diare cair disertai lendir-darah. Keluhan juga disertai demam, nyeri perut yang melilit dan mual muntah. Pemeriksaan nadi 98x/m, RR 26x/m, suhu 37,8OC, mukosa bukal kering dan turgor kembali 3 detik. Dari kultur tinja pada agar McConkey didapatkan bakteri gram negatif, pertumbuhan bakteri koloni bundar, halus, cembung, berwarna merah bata, fermentasi laktosa (-). Bakteri apakah yang kemungkinan menyebabkan kelainan pada pasien?","","Enteropathogenic E. coli","Enterotoxigenic E. coli","Enteroaggregative E. coli","Enterohemorrhagic E. coli","Enteroinvasive E. coli","E"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Diare Lemak","pmb","Seorang anak laki-laki 7 tahun, dibawa ke UGD karena keluhan diare sebanyak 6 kali dalam sehari. Keluhan ini disertai perut kembung dan sering buang angin. Pemeriksaan fisik tanda vital dalam batas normal, tidak didapatkan tanda dehidrasi. Pada pemeriksaan makroskopis feses didapatkan bau busuk, berlemak dan berlendir. Pada mikroskopis feses didapatkan kista inti 4 dengan axostyle. Apakah diagnosis kasus pasien ini?","","Amoebiasis","Shigelosis","Schistomiasis","Giardiasis","Enterobiasis","D"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Alergi Susu Sapi","pmb","Seorang anak berumur 1 tahun bersama ibunya periksa ke dokter dengan keluhan rewel dan diare terus menerus sejak 1 minggu ini. Diare cair tanpa lendir darah. Riwayat ASI eksklusif 6 bulan, kemudian dilanjutkan MPASI. Anak konsumsi susu formula sejak 1 minggu terakhir karena ASI sudah tidak keluar. Bayi tampak rewel, tidak menunjukkan tanda dehidrasi, ketika dilakukan pemeriksaan fisik didapatkan lesi makulopapula kemerahan pada pipi, tangan, kaki dan juga sekitar anus. Apakah tatalaksana yg tepat?","","Mengganti susu formula dengan susu terhidrolisat sebagian","Mengganti susu formula dengan susu terhidrolisat sempurna","Mengganti susu formula dengan susu soya","Mengganti susu formula dengan susu rendah laktosa","Mengganti susu formula dengan susu bebas laktosa","B"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Diare cair e.c. virus","pmb","Bayi perempuan usia 3 bulan, dibawa ke dokter oleh ibunya dengan keluhan berak encer kekuningan disertai demam sejak 3 hari yang lalu. Frekuensi berak 3-4 kali/hari. Berak tidak disertai darah maupun lendir. Berak menyemprot disertai pantat merah dan bau asam. Bayi saat ini mendapat ASI eksklusif. Tidak terdapat riwayat pemberian susu formula. Pemeriksaan fisik nadi 140x/m, RR 30x/, suhu 37.7OC, tidak didapatkan tanda dehidrasi, perut kembung, bising usus meningkat, eritema perianal. Apakah kemungkinan etiologi yang menyebabkan keluhan tersebut?","","Vibrio cholera","Eschericia Coli","Rotavirus","Intoleransi laktosa","Alergi protein susu sapi","C"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Kejang Demam","pmb","Seorang anak perempuan berusia 1 tahun 6 bulan, datang diantar ibunya ke IGD dengan keluhan kejang 3 jam yang lalu. Kejang pada kedua tangan, kaki kaku dan kelojotan. Kejang berlangsung selama kurang dari 5 menit dan berulang 2 kali dalam sehari. Setelah kejang anak menangis. Sejak 2 hari yg lalu anak demam tinggi dan batuk pilek. Pasien belum pernah kejang sebelumnya. Pemeriksaan fisik tanda vital Nadi 110x/m, RR 30x/m, Suhu 39C, pemeriksaan neurologi tidak didapatkan kelainan. Apakah diagnosis yg paling tepat?","","Ensefalitis","Meningitis","Epilepsi","Kejang Demam Sederhana","Kejang Demam Komplek","E"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","","pmb","Anak 4 tahun mengalami kejang seluruh tubuh. Kejang disertai demam. Ini merupakan yang pertama kali. Di rumah sudah diberikan diazepam per rektal oleh orangtuanya. Sewaktu sampai di RS, pasien kembali kejang dan perawat memberikan diazepam per rektal. Jika pasien kejang kembali, terapi apa yang diberikan?","","Diazepam rektal 10 mg","Diazepam oral 0,3-0,5 mg/kgBB","Fenitoin bolus IV 15-20 mg/kgBB","Fenobarbital IV 10-20 mg/kg BB","Diazepam IV 0,3-0,5 mg/kgBB","E"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Meningoensefalitis Bakterial","pmb","Seorang bayi usia 5 bulan dibawa ke IGD dengan keluhan kejang di rumah selama 3 menit, kejang berulang sebanyak 2 kali dalam satu hari. Didahului riwayat demam dan batuk pilek sejak 2 minggu ini dan tidak kunjung sembuh meskipun sudah dibawa periksa ke dokter. Sejak 2 hari ini pasien tampak lemas dan malas minum. Saat di IGD didapatkam pasien kejang seluruh tubuh dan setelah kejang pasien tidak sadar. Pemeriksaan fisik GCS apatis, nadi 150x/m, RR 40x/m, Tax 39OC, tanda meningeal (+), lain-lain dalam batas normal. Hasil lumbal pungsi neutrofil meningkat, protein meningkat, glukosa turun. Apakah tatalaksana yang tepat?","","Diazepam bila kejang, cefotaxime, dexamethasone","Diazepam bila kejang, dexamethasone, suportif","Diazepam bila kejang, koreksi gangguan elektrolit","Fenobarbital bila kejang, ceftriaxone","Fenobarbital bila kejang, ceftriaxone, dexamethasone","A"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Meningoensefalitis","pmb","Seorang bayi laki-laki berusia 5 hari dirawat di bangsal Perinatologi dengan keluhan kejang berulang. Bayi lahir ditolong bidan dengan BB 2800 gr, PB 45 cm, kehamilan cukup bulan. Ketuban pecah 20 jam menjelang persalinan, warna hijau kental dan berbau. Karena kondisi bayi cukup aktif, bayi diperbolehkan pulang usia 2 hari. Sejak usia 3 hari bayi mengalami demam, mulai malas menyusu dan tampak letargis, ubun-ubun tampak membonjol. Pemeriksaan penunjang apakah yang sebaiknya dilakukan di awal perawatan pasien ini?","","Kultur darah","CT Scan kepala","EEG","USG kepala","Pungsi lumbal","E"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Status Epileptikus","pmb","Anak perempuan usia 10 tahun dibawa ibunya ke IGD dalam kondisi kejang. Sebelumnya pasien kejang di rumah sekitar 30 menit, setelah kejang anak sulit dibangunkan. Ibu pasien telah memberikan Diazepam supp kemudian menelepon ambulan. Pada saat perjalanan menuju RS, sekitar 30 menit setelah kejang pertama, pasien kejang lagi dan diberikan Diazepam supp lagi. Riwayat pasien rutin minum obat Fenitoin namun seminggu terakhir pasien tidak minum. Apakah tatalaksana yang diberikan setelah pasien sampai di RS?","","Pasang IV line + Diazepam IV","Pasang IV line + Fenobarbital IV","Pasang IV line + Fenitoin IV","Pasang IV line + Fenobarbital Oral","Pasang IV line + Fenitoin Oral","A"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Cerebral Palsy (2)","pmb","Seorang anak umur 2 tahun dibawa ke RS karena belum bisa berdiri. Pasien lahir secara SC, cukup bulan dengan riwayat ketuban pecah 24 jam sebelumnya. APGAR score 1 menit 2, 5 menit 5. Pemeriksaan fisik tidak menunjukan gambaran dismorfik, lingkar kepala kecil, kelemahan pada keempat ekstremitas, tonus otot meningkat, kaki posisi menggunting. Diagnosis yang mungkin?","","Hipotiroid","Cerebal palsy","Down sindrom","Mental retardasi","Muscular distrofi","B"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Hipotiroid Kongenital","pmb","Bayi laki-laki umur 5 bulan dibawa ibunya ke dokter dengan keluhan lemas, bayi juga tidak kuat menetek. Riwayat lahir normal pervaginam, usia kehamilan 43 minggu, BBL 3000 gram. Pemeriksaan fisik kesadaran compos mentis, nadi 150x, RR 40x/m, Suhu 36OC, didapatkan hipotoni, makroglosi dan hernia ulbilikal. Kapan skrining dapat dilakukan sehingga komplikasi penyakit dapat dicegah?","","Bayi baru lahir","Usia 1 bulan","Usia 2 bulan","Usia 3 bulan","Usia 1 tahun","A"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Hipoglikemia","pmb","Bayi 6 bulan dibawa ibunya ke IGD karena sudah 2 hari tidak mau menyusu. Pemeriksan fisik bayi tampak lemah, ubun2 cekung (+), turgor kulit kembali >2 detik. Pemeriksaan lab GDS 40 mg/dL, sudah 3x pemberian dekstrosa 10% bolus IV tetapi tidak ada perbaikan. Apakah terapi selanjutnya?","","Bolus dextrose 40%","Injeksi glukagon","Injeksi insulin","Injeksi adrenaline","Rehidrasi kristaloid","B"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Ketoasidosis Diabetik","pmb","Seorang anak perempuan usia 14 tahun diantar oelh ibunya dengan keluhan nyeri perut disertai mual dan muntah. Pasien sering terbangun malam hari untuk BAK dan sering haus. Dari pemeriksan fisik didaptakan tampak kurus dan turgor kulit sangat lambat. Dari pemeriksaan lab didapatkan GDS 400 mg/dl, keton (+). Apakah tatalaksana awal yang tepat?","","Infus D10% 6 ml/kgBB (IV)","Bolus D10% 2ml/kgBB (IV)","Infus NaCl 3% 10-20ml/kgBB dalam 1 jam (IV)","Infus RL 10-20ml/kgBB dalam 1 jam (IV)","Infus insulin rapid acting 0,05 – 0,1 U/kgBB/jam (IV)","D"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","DM Tipe 1 vs DM Tipe 2 pada Anak","pmb","Seorang anak laki-laki 12 tahun datang periksa ke dokter dengan keluhan sering buang air kecil, sering minum dan sering merasa lapar sejak 3 bulan terakhir. Pasien juga dikeluhkan mengalami penurunan berat badan 5 kg dalam waktu sebulan terakhir. Riwayat ayah dan ibu pasien menderita DM dan hipertensi. Pada pemeriksaan BB: 65 kg, TB: 140 cm, TD 130/70 mmHg, Nadi 90x/m, RR 26x/m, suhu 36.5C. Hasil lab GDS 389 mg/dl, kolesterol total 250 mg/dl, trigliserida 400 mg/dl. Apakah kemungkinan diagnosis pasien?","","Insulin Dependent Diabetes Mellitus","Non Insulin Dependent Diabetes Mellitus","Diabetes Insipidus","Diabetes monogenik","Dyslipidemia","B"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","DM Tipe 1","pmb","Seorang pasien laki-laki berusia 5 tahun datang dengan keluhan sering lemas. Ibu mengatakan pasien menjadi lebih sering makan, sering kencing, dan lebih mudah merasa haus, namun BB tidak meningkat. Riwayat 5 bulan yang lalu pasien sempat demam tinggi namun sembuh dengan sendirinya. Pemeriksaan fisik dan tanda vital dalam batas normal. Pemeriksaan lab didapatkan GDS 320 g/dl, C peptide rendah, urin glukosa +3. Apa mekanisme penyebab penyakit pada pasien ini?","","Resistensi insulin","Peningkatan penggunaan glukosa darah yang berlebihan","Destruksi sel islet beta pankreas","Gangguan hepar","Kurangnya intake glukosa","C"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Kekurangan Energi Protein (KEP) (4A)","pmb","Seorang anak perempuan berusia 2 tahun dibawa ke Puskesmas karena batuk-pilek berulang sudah 3 bulan. Anak juga dikeluhkan kecil disbanding anak seusianya dan sering lemas. Pemeriksaan fisik berat badan 8 kg, tinggi badan 74 cm, frekuensi napas 32x/menit, nadi 122x/menit, suhu tubuh 37,30C. Anak tampak sakit berat dan wajah seperti orang tua, palpebra cekung, kedua hemithoraks simetris, suara vesikular normal, iga gambang, kulit bila dicubit lambat kembali seperti semula, tidak terdapat edema, akral hangat. Apakah status gizi pasien?","","Marasmus","Kwashiorkor","Defisiensi kalori","Defisiensi protein","Marasmus-kwashiorkor","A"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Indikator Pertumbuhan (WHO)","pmb","Seorang anak perempuan umur 4 tahun dibawa ibunya ke Puskesmas karena keluhan tubuhnya lebih kecil dibanding teman seusianya. Riwayat anak sulit makan, makan hanya 2-3 sendok per hari, serta tidak suka minum susu. Pemeriksaan antropometri didapatkan BB 11 kg, TB 80 cm. Setelah dilakukan ploting ke kurva pertumbuhan WHO, didapatkan BB/U -2SD s/d -3SD, TB/U -2SD s/d -3SD, BB/TB <-3SD. Apakah diagnosis pasien?","","Gizi kurang, severe stunting","Gizi buruk, severe stunting","Gizi kurang, stunting","Gizi buruk, stunting","Underweight, stunting","D"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Kekurangan Energi Protein (KEP)","pmb","Seorang anak laki-laki usia 2 tahun dibawa ke Puskesmas karena bengkak terutama di pipi, perut dan kaki. Anak tampak tidak selera makan dan sering menangis. Hasil penilaian kurva pertumbuhan BB/TB < -3SD. Pemeriksaan fisik didapatkan rambut jagung yang mudah dicabut tanpa rasa sakit, kulit kering pecah-pecah, edema palpebra, asites dan edema tungkai. Apakah komplikasi yang dapat terjadi akibat penyakit pasien?","","Anemia gravis","Ikterus","Gagal ginjal akut","Hepatoma","Sepsis","A"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Marasmus (Sadar)","pmb","Ibu membawa anak nya usia 2 tahun ke dokter dengang keluhan berat badan sulit naik. Riwayat anak hanya mau makan sedikit dan minum air kacang hijau. Pemeriksan fisik anak tampak sangat kurus, iga gambang, baggy pants. Kesadaran compos mentis, Nadi 100x/m, RR 24x/m, Tax 36,5C. Apakah penatalaksanaan awal yang tepat ?","","Berikan makanan tambahan F75","Larutan D5% oral 50 cc","Larutan D10% oral 50 cc","Larutan D10% 5 cc/kgBB bolus IV","Rehidrasi dengan Resomal","C"
"kedokteran","Ilmu Kesehatan Anak","Ilmu Kesehatan Anak","Tahapan Perkembangan Anak","pmb","Bayi perempuan dibawa ibunya ke puskesmas untuk pemeriksaan rutin. Pada pemeriksaan fisik ditemukan anak mampu menggerakkan kepalanya mengikuti benda yang digerakkan dari samping kiri ke samping kanan dan sebaliknya. Saat posisi tengkurap mampu menopang bahu dengan kedua telapak tangannya, tersenyum bila ada respon dan mengeluarkan suara “ooh, aah, br, br” tapi belum dapat duduk. Berapakah perkiraan usia anak yang paling tepat?","","12 bulan","9 bulan","6 bulan","3 bulan","1 bulan","D"
